title,remote,place
Senior Python Backend Developer, 100% Remote Job,"
            Work from Anywhere 
"
Python Developer, 100% Remote Job,"
            Work from Anywhere 
"
"Python, Django Developer", 100% Remote Job,"
            Work from Anywhere 
"
Senior Backend Python Developer, 100% Remote Job,"
            United Kingdom 
"
Frontend Django Developer, 100% Remote Job,"
            Work from Anywhere 
"
Senior Software Developer, 100% Remote Job,"
            Work from Anywhere 
"
.Net Developer, Option for Remote Job,"
            Leeds, United Kingdom 
"
Full Stack Developer, 100% Remote Job,"
            Work from Anywhere 
"
Senior Web Developer - Workplace Engineering, 100% Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom 
"
Web Developer, Hybrid Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom 
"
Engineering Manager - Commercial Systems, 100% Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom, Canada, Mexico, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, or US National 
"
Senior Technical Content Engineer, 100% Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom, or US National 
"
Software Engineer - Observability, 100% Remote Job,"
            Work from Anywhere 
"
"Go Software Engineer, Commercial Systems", 100% Remote Job,"
            Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom 
"
Security Engineer, 100% Remote Job,"
            Work from Anywhere 
"
Big Data Engineer, 100% Remote Job,"
            United Kingdom, Costa Rica, or US National 
"
Senior Technical Author, 100% Remote Job,"
            Work from Anywhere 
"
Senior Backend Engineer, 100% Remote Job,"
            Work from Anywhere 
"
Senior Site Reliability Engineer - Enterprise, 100% Remote Job,"
            Work from Anywhere 
"
Director of Technical Documentation, 100% Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom, or US National 
"
Senior 3D Software Engineers, 100% Remote Job,"
            Work from Anywhere 
"
Staff Embedded Engineer, 100% Remote Job,"
            Canada, United Kingdom 
"
Technical Author, Hybrid Remote Job,"
            Work from Anywhere 
"
Senior Technical Artist, 100% Remote Job,"
            United Kingdom 
"
Senior Pipeline and Tools Technical Artist, 100% Remote Job,"
            Work from Anywhere 
"
Principal Data Engineering Architect, 100% Remote Job,"
            London, United Kingdom 
"
Software Engineer - Launchpad, 100% Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom 
"
Kubernetes Engineering Manager, Hybrid Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom, or US National 
"
Senior Technical Animator, 100% Remote Job,"
            United Kingdom 
"
DevOps Engineer, 100% Remote Job,"
            United Kingdom 
"
Senior Software Engineer - Cloud Platform - Networking, 100% Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom 
"
Engineering Manager - Identity and Access Management platform, Hybrid Remote Job,"
            Bulgaria, Croatia, Cyprus, Czech Republic, Egypt, Israel, Kenya, Lebanon, Luxembourg, Malta, Nigeria, Oman, Qatar, Romania, Saudi Arabia, Serbia, South Africa, Ukraine, United Arab Emirates, United Kingdom 
"
"Senior Front-End, React Expert", 100% Remote Job,"
            Work from Anywhere 
"
Site Reliability Engineer, 100% Remote Job,"
            United Kingdom 
"
